Sample_Identity	Alignment_File	VCF_Original	VCF_Merged	VCF_ChrFixed	VCF_Annotated	VCF_Candidates	Snzl_NoGaps_NBases	Snzl_NoGaps_NSnps	Snzl_WithGaps_NBases	Snzl_WithGaps_NSnps	Json	Sample_Short
TL2209397-ENUref-Female	TL2209397-ENUref-Female.bam											TL2209397-ENUref-Female
TL2209398-ENUref-Male	TL2209398-ENUref-Male.bam											TL2209398-ENUref-Male
TL2209399-TUref-Female	TL2209399-TUref-Female.bam											TL2209399-TUref-Female
TL2209400-TUref-Male	TL2209400-TUref-Male.bam											TL2209400-TUref-Male
TL2211776-1-5	TL2211776-1-5.bam											TL2211776-1-5
TL2211777-9-4	TL2211777-9-4.bam											TL2211777-9-4
TL2211778-11-1	TL2211778-11-1.bam											TL2211778-11-1
TL2211779-12-2	TL2211779-12-2.bam											TL2211779-12-2
TL2211780-15-1	TL2211780-15-1.bam											TL2211780-15-1
TL2211781-15-3	TL2211781-15-3.bam											TL2211781-15-3
TL2211785-19-1	TL2211785-19-1.bam											TL2211785-19-1
TL2211786-19-4	TL2211786-19-4.bam											TL2211786-19-4
TL2211787-20-2	TL2211787-20-2.bam											TL2211787-20-2
TL2211790-24-A	TL2211790-24-A.bam											TL2211790-24-A
TL2211791-24-6	TL2211791-24-6.bam											TL2211791-24-6
TL2211793-42-1	TL2211793-42-1.bam											TL2211793-42-1
TL2211794-53-2	TL2211794-53-2.bam											TL2211794-53-2
TL2211795-74-3	TL2211795-74-3.bam											TL2211795-74-3
TL2211796-75-4	TL2211796-75-4.bam											TL2211796-75-4
TL2211797-85-1	TL2211797-85-1.bam											TL2211797-85-1
TL2211798-95-2	TL2211798-95-2.bam											TL2211798-95-2
TL2211801-153-5	TL2211801-153-5.bam											TL2211801-153-5
TL2211802-175-1	TL2211802-175-1.bam											TL2211802-175-1
TL2211803-NTC-3	TL2211803-NTC-3.bam											TL2211803-NTC-3
TL2212475-15-5a	TL2212475-15-5a.bam											TL2212475-15-5a
TL2212476-15-5b	TL2212476-15-5b.bam											TL2212476-15-5b
TL2212477-18-2	TL2212477-18-2.bam											TL2212477-18-2
TL2212478-22-1	TL2212478-22-1.bam											TL2212478-22-1
TL2212479-22-2	TL2212479-22-2.bam											TL2212479-22-2
TL2212480-32-1	TL2212480-32-1.bam											TL2212480-32-1
TL2212481-137-1	TL2212481-137-1.bam											TL2212481-137-1
TL2212482-147-4	TL2212482-147-4.bam											TL2212482-147-4
TL2212483-NTC-MAN	TL2212483-NTC-MAN.bam											TL2212483-NTC-MAN
TL2312061-15-1	TL2312061-15-1.bam											TL2312061-15-1
TL2312062-15-3	TL2312062-15-3.bam											TL2312062-15-3
TL2312063-018-2	TL2312063-018-2.bam											TL2312063-018-2
TL2312065-024-6	TL2312065-024-6.bam											TL2312065-024-6
TL2312066-38-A	TL2312066-38-A.bam											TL2312066-38-A
TL2312067-49-2	TL2312067-49-2.bam											TL2312067-49-2
TL2312068-49-2	TL2312068-49-2.bam											TL2312068-49-2
TL2312069-53-2	TL2312069-53-2.bam											TL2312069-53-2
TL2312070-74-3	TL2312070-74-3.bam											TL2312070-74-3
TL2312071-122-3	TL2312071-122-3.bam											TL2312071-122-3
TL2312072-161-2	TL2312072-161-2.bam											TL2312072-161-2
TL2312073-163-4L	TL2312073-163-4L.bam											TL2312073-163-4L
TL2312074-175-1	TL2312074-175-1.bam											TL2312074-175-1
TL2312075-245-2A	TL2312075-245-2A.bam											TL2312075-245-2A
TL2312076-373-I	TL2312076-373-I.bam											TL2312076-373-I
