CU651604.3	chr1
CU651605.3	chr2
CU651606.3	chr3
CU651607.3	chr4
CU651608.3	chr5
CU651609.3	chr6
CU651610.3	chr7
CU651611.3	chr8
CU651612.3	chr9
CU651613.3	chr10
CU651614.3	chr11
CU651615.3	chr12
CU651616.3	chr13
CU651617.3	chr14
CU651618.3	chr15
CU651619.3	chr16
CU651620.3	chr17
CU651621.3	chr18
CU651622.3	chr19
CU651623.3	chr20
CU651624.3	chr21
CU651625.3	chr22
CU651626.3	chr23
CU651627.3	chr24
CU651628.3	chr25
FR651851.1	Zv9_scaffold3453
FR651852.1	Zv9_scaffold3454
FR651853.1	Zv9_scaffold3455
FR651854.1	Zv9_scaffold3456
FR651855.1	Zv9_scaffold3457
FR651856.1	Zv9_scaffold3458
FR651857.1	Zv9_scaffold3459
FR651858.1	Zv9_scaffold3460
FR651859.1	Zv9_scaffold3461
FR651860.1	Zv9_scaffold3462
FR651861.1	Zv9_scaffold3463
FR651862.1	Zv9_scaffold3464
FR651863.1	Zv9_scaffold3465
FR651864.1	Zv9_scaffold3466
FR651865.1	Zv9_scaffold3467
FR651866.1	Zv9_scaffold3468
FR651867.1	Zv9_scaffold3469
FR651868.1	Zv9_scaffold3470
FR651869.1	Zv9_scaffold3471
FR651870.1	Zv9_scaffold3472
FR651871.1	Zv9_scaffold3473
FR651872.1	Zv9_scaffold3474
FR651873.1	Zv9_scaffold3475
FR651874.1	Zv9_scaffold3476
FR651875.1	Zv9_scaffold3477
FR651876.1	Zv9_scaffold3478
FR651877.1	Zv9_scaffold3479
FR651878.1	Zv9_scaffold3480
FR651879.1	Zv9_scaffold3481
FR651880.1	Zv9_scaffold3482
FR651881.1	Zv9_scaffold3483
FR651882.1	Zv9_scaffold3484
FR651883.1	Zv9_scaffold3485
FR651884.1	Zv9_scaffold3486
FR651885.1	Zv9_scaffold3487
FR651886.1	Zv9_scaffold3488
FR651887.1	Zv9_scaffold3489
FR651888.1	Zv9_scaffold3490
FR651889.1	Zv9_scaffold3491
FR651890.1	Zv9_scaffold3492
FR651891.1	Zv9_scaffold3493
FR651892.1	Zv9_scaffold3494
FR651893.1	Zv9_scaffold3495
FR651894.1	Zv9_scaffold3496
FR651895.1	Zv9_scaffold3497
FR651896.1	Zv9_scaffold3498
FR651897.1	Zv9_scaffold3499
FR651898.1	Zv9_scaffold3500
FR651899.1	Zv9_scaffold3501
FR651900.1	Zv9_scaffold3502
FR651901.1	Zv9_scaffold3503
FR651902.1	Zv9_scaffold3504
FR651903.1	Zv9_scaffold3505
FR651904.1	Zv9_scaffold3506
FR651905.1	Zv9_scaffold3507
FR651906.1	Zv9_scaffold3508
FR651907.1	Zv9_scaffold3509
FR651908.1	Zv9_scaffold3510
FR651909.1	Zv9_scaffold3511
FR651910.1	Zv9_scaffold3512
FR651911.1	Zv9_scaffold3513
FR651912.1	Zv9_scaffold3514
FR651913.1	Zv9_scaffold3515
FR651914.1	Zv9_scaffold3516
FR651915.1	Zv9_scaffold3517
FR651916.1	Zv9_scaffold3518
FR651917.1	Zv9_scaffold3519
FR651918.1	Zv9_scaffold3520
FR651919.1	Zv9_scaffold3521
FR651920.1	Zv9_scaffold3522
FR651921.1	Zv9_scaffold3523
FR651922.1	Zv9_scaffold3524
FR651923.1	Zv9_scaffold3525
FR651924.1	Zv9_scaffold3526
FR651925.1	Zv9_scaffold3527
FR651926.1	Zv9_scaffold3528
FR651927.1	Zv9_scaffold3529
FR651928.1	Zv9_scaffold3530
FR651929.1	Zv9_scaffold3531
FR651930.1	Zv9_scaffold3532
FR651931.1	Zv9_scaffold3533
FR651932.1	Zv9_scaffold3534
FR651933.1	Zv9_scaffold3535
FR651934.1	Zv9_scaffold3536
FR651935.1	Zv9_scaffold3537
FR651936.1	Zv9_scaffold3538
FR651937.1	Zv9_scaffold3539
FR651938.1	Zv9_scaffold3540
FR651939.1	Zv9_scaffold3541
FR651940.1	Zv9_scaffold3542
FR651941.1	Zv9_scaffold3543
FR651942.1	Zv9_scaffold3544
FR651943.1	Zv9_scaffold3545
FR651944.1	Zv9_scaffold3546
FR651945.1	Zv9_scaffold3547
FR651946.1	Zv9_scaffold3548
FR651947.1	Zv9_scaffold3549
FR651948.1	Zv9_scaffold3550
FR651949.1	Zv9_scaffold3551
FR651950.1	Zv9_scaffold3552
FR651951.1	Zv9_scaffold3553
FR651952.1	Zv9_scaffold3554
FR651953.1	Zv9_scaffold3555
FR651954.1	Zv9_scaffold3556
FR651955.1	Zv9_scaffold3557
FR651956.1	Zv9_scaffold3558
FR651957.1	Zv9_scaffold3559
FR651958.1	Zv9_scaffold3560
